contract_address,evt_block_time,evt_tx_hash,from,to,value,price,symbol,decimal,liquidity,Transaction Type,From Label,From Context,To Label,To Context
0x7659ce147d0e714454073a5dd7003544234b6aa0,2023-05-07 00:02:59.000 UTC,0x622675a90b9ad898bca35775f858389a78e8d7fdaedbb011764d6e604cd7c7fa,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xf584f8728b874a6a5c7a8d4d387c9aae9172d621,827360000000000000000,0.972282,XCAD,18,2373302.5637920112,Buy,,,Jump,None
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2023-05-07 00:05:47.000 UTC,0xa82f749247964c087597b9dfd156f0b74ddc93e210b15a20f4bb1852ffee8fc7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,52055670330675619052,1865.15,WETH,18,475693877.8112136,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xdac17f958d2ee523a2206206994597c13d831ec7,2023-05-07 00:05:47.000 UTC,0xa82f749247964c087597b9dfd156f0b74ddc93e210b15a20f4bb1852ffee8fc7,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,98765547144,1.001,USDT,6,940526395.711328,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-05-07 00:07:47.000 UTC,0xf878abd71312cbcd9267fe5be0f863eaa47052b94d7167f26e5344b68610f22c,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,323074788107,1.0,USDC,6,1136437072.2730415,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2023-05-07 00:07:47.000 UTC,0xf878abd71312cbcd9267fe5be0f863eaa47052b94d7167f26e5344b68610f22c,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,170131165013362532380,1865.15,WETH,18,475693877.8112136,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-05-07 00:18:59.000 UTC,0xf14441e9d758f0f25ffb655ca5dce3c10e4aa72f17297d58f10eb1b409afe0fa,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x9507c04b10486547584c37bcbd931b2a4fee9a41,139584446871,1.0,USDC,6,1136437072.2730415,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2023-05-07 00:18:59.000 UTC,0xf14441e9d758f0f25ffb655ca5dce3c10e4aa72f17297d58f10eb1b409afe0fa,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,73520626868123587838,1865.15,WETH,18,475693877.8112136,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2023-05-07 00:21:59.000 UTC,0xf0cb6a988773f439f330d181a93d8265a6c4b5029c9133e3ee3fa3d17bbeeae2,0x9507c04b10486547584c37bcbd931b2a4fee9a41,0x11b815efb8f581194ae79006d24e0d814b7697f6,50082974473147948878,1865.15,WETH,18,475693877.8112136,Sell,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090,,
0xdac17f958d2ee523a2206206994597c13d831ec7,2023-05-07 00:21:59.000 UTC,0xf0cb6a988773f439f330d181a93d8265a6c4b5029c9133e3ee3fa3d17bbeeae2,0x11b815efb8f581194ae79006d24e0d814b7697f6,0x9507c04b10486547584c37bcbd931b2a4fee9a41,94916958938,1.001,USDT,6,940526395.711328,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
0xdac17f958d2ee523a2206206994597c13d831ec7,2023-05-07 00:23:47.000 UTC,0x604e9fc8a3e207a25a3d8ed5d33925f9dabfcc1ae4ee47541c21dc77a845f93e,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x9507c04b10486547584c37bcbd931b2a4fee9a41,37931121200,1.001,USDT,6,940526395.711328,Buy,,,Jump,Swap Contract created by 0x69e906c33722f61b854929cd2c6f3427dea9f090
